epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
93,18799,0.875990391,0.929163158,0.791710377,,,
94,18999,,,,0.80339998,0.858349741,0.69746356
94,18999,0.876373887,0.929835141,0.792898536,,,
95,19199,,,,0.803038001,0.85752207,0.699175369
95,19199,0.876760364,0.929253697,0.793105721,,,
96,19399,,,,0.803985178,0.857883632,0.705659706
96,19399,0.877539933,0.929022431,0.794082224,,,
97,19599,,,,0.804448545,0.858150065,0.686244164
97,19599,0.875429571,0.928504467,0.791121721,,,
98,19799,,,,0.803426445,0.857560158,0.70694725
98,19799,0.874247313,0.928030431,0.789160371,,,
99,19999,,,,0.804275036,0.858055592,0.703251615
99,19999,0.876518607,0.930487514,0.793259561,,,
